originl query	freq	CPP detector and converter				JS detector and converter							
မႏၲေလးsexအဆက္အသြယ္	4	1	မန္တလေးsexအဆက်အသွယ်	diff	Z	1	မန္တလေးsexအဆက်အသွယ်	diff	Z	same	same		
​ေမပန္​းခ်ီ	4	1	​မေပန်းချီ	diff	Z	1	​မေပန်းချီ	diff	Z	same	same		
ဗာဂ်ီးနီးယားတိုင္းနည္း	4	1	ဗာဂျီးနီးယားတိုင်းနည်း	diff	Z	1	ဗာဂျီးနီးယားတိုင်းနည်း	diff	Z	same	same		
ထုိင္းxxx.com	4	1	ထိုင်းxxx.com	diff	Z	1	ထိုင်းxxx.com	diff	Z	same	same		
ျမန္မာ လုိးကားမ်ား	4	1	မြန်မာ လိုးကားများ	diff	Z	1	မြန်မာ လိုးကားများ	diff	Z	same	same		
ဖးစာအုပ္​မ်ား	4	1	ဖးစာအုပ်​များ	diff	Z	1	ဖးစာအုပ်​များ	diff	Z	same	same		
ပန္	4	0.9996	ပန်	diff	Z	0.9999458984	ပန်	diff	Z	same	same		
က်ြန္းစုိက္ပ်ဳိးနည္း	4	1	ကျွန်းစိုက်ပျိုးနည်း	diff	Z	1	ကျွန်းစိုက်ပျိုးနည်း	diff	Z	same	same		
အိေခ်ာ့ပိုအလန္	4	1	အိချော့ပိုအလန်	diff	Z	1	အိချော့ပိုအလန်	diff	Z	same	same		
ကုလား​ေႁမြကား	4	1	ကုလား​မြွေကား	diff	Z	0.999992237	ကုလား​မြွေကား	diff	Z	same	same		
ဘုန္းမီးေနလမဟာအေသာက	4	1	ဘုန်းမီးနေလမဟာအသောက	diff	Z	1	ဘုန်းမီးနေလမဟာအသောက	diff	Z	same	same		
ကိုကစားများ	4	0.001948	ကိုကစားမြား	diff	U	0.001030069583	ကိုကစားမြား	diff	U	same	same		
ျဖတ္ေဖာက္ခ်ဳပ္ေလးမ်ား	4	1	ဖြတ်ဖောက်ချုပ်လေးများ	diff	Z	1	ဖြတ်ဖောက်ချုပ်လေးများ	diff	Z	same	same		
ေအာင္ရဲလင္း movie 2017	4	1	အောင်ရဲလင်း movie 2017	diff	Z	1	အောင်ရဲလင်း movie 2017	diff	Z	same	same		
နတ္နန္းတည္ေဆာက္ပုံ	4	1	နတ်နန်းတည်ဆောက်ပုံ	diff	Z	1	နတ်နန်းတည်ဆောက်ပုံ	diff	Z	same	same		
ေက်ာ္ေဇာဟိန္း	4	1	ကျော်ဇောဟိန်း	diff	Z	1	ကျော်ဇောဟိန်း	diff	Z	same	same		
XXX စုစုလိုငိ	4	0.9838	XXX စုစုလိုငိ	same	Z	0.7782710914	XXX စုစုလိုငိ	same	I	diff	same		
ဦး​ေတ​ေဇာသာရ	4	1	ဦး​တေ​ဇောသာရ	diff	Z	0.9999948066	ဦး​တေ​ဇောသာရ	diff	Z	same	same		
ေဘဒါနဲ့တူတဲ့အညိဳ ဘုန္းျမင့္နိုင္	4	1	ဘေဒါနဲ့တူတဲ့အညို ဘုန်းမြင့်နိုင်	diff	Z	1	ဘေဒါနဲ့တူတဲ့အညို ဘုန်းမြင့်နိုင်	diff	Z	same	same		
လင္းလက္ ႀကယ္	4	1	လင်းလက် ကြယ်	diff	Z	1	လင်းလက် ကြယ်	diff	Z	same	same		
telenor free ရေနပါတယ္	4	1	telenor free ရနေပါတယ်	diff	Z	0.9999999511	telenor free ရနေပါတယ်	diff	Z	same	same		
ခေလးေအာကားwww..com	4	0.9995	ခလေးအောကားwww..com	diff	Z	0.9999999983	ခလေးအောကားwww..com	diff	Z	same	same		
ေ​ေစာက္​ပတ္​	4	1	ေ​စောက်​ပတ်​	diff	Z	1	ေ​စောက်​ပတ်​	diff	Z	same	same		
​ေဇာ္​ဂ်ီ	4	1	​ဇော်​ဂျီ	diff	Z	1	​ဇော်​ဂျီ	diff	Z	same	same		
မုဒိန္း	4	0.9979	မုဒိန်း	diff	Z	0.9999857396	မုဒိန်း	diff	Z	same	same		
xxxxလိုးကာ	4	0.8283	xxxxလိုးကာ	same	I	0.8758107861	xxxxလိုးကာ	same	I	same	same		
ဂျွန်နီဒက်ပ် a nightmare on elm street	4	1.26E-11	ဂြှနျနီဒကျပျ a nightmare on elm street	diff	U	2.08E-13	ဂြှနျနီဒကျပျ a nightmare on elm street	diff	U	same	same		
ထန္းပင္	4	1	ထန်းပင်	diff	Z	1	ထန်းပင်	diff	Z	same	same		
ခြန္​အားရိွ​ေသာစာ	4	1	ခွန်​အားရှိ​သောစာ	diff	Z	0.9999999999	ခွန်​အားရှိ​သောစာ	diff	Z	same	same		
ေခါင္ေဆာင္အရည္အခ်င္း	4	1	ခေါင်ဆောင်အရည်အချင်း	diff	Z	1	ခေါင်ဆောင်အရည်အချင်း	diff	Z	same	same		
ဖူးပြင့္	4	0.9999	ဖူးပွင့်	diff	Z	0.9999997092	ဖူးပွင့်	diff	Z	same	same		
သီခ်င္မ်ား	4	1	သီချင်များ	diff	Z	1	သီချင်များ	diff	Z	same	same		
ေကာင္းျပည့္	4	1	ကောင်းပြည့်	diff	Z	1	ကောင်းပြည့်	diff	Z	same	same		
​ေအာစာအုပ္	4	1	​အောစာအုပ်	diff	Z	0.9999999992	​အောစာအုပ်	diff	Z	same	same		
sonyဖုန္း	4	0.9999	sonyဖုန်း	diff	Z	0.9999541389	sonyဖုန်း	diff	Z	same	same		
လင္းလင္း အမွန္တရား	4	1	လင်းလင်း အမှန်တရား	diff	Z	1	လင်းလင်း အမှန်တရား	diff	Z	same	same		
လုိးမယ္​ မမ	4	1	လိုးမယ်​ မမ	diff	Z	1	လိုးမယ်​ မမ	diff	Z	same	same		
သတင္​းမ်ား	4	1	သတင်းများ	diff	Z	1	သတင်းများ	diff	Z	same	same		
ဆူဇီ	4	0.01266	ဆူဇီ	same	U	0.5430349796	ဆူဇီ	same	I	diff	same		
ပာသ	4	0.7785	ပာသ	same	I	0.9929360443	ပာသ	same	Z	diff	same		
ျမန္မာေအာမ်ား	4	1	မြန်မာအောများ	diff	Z	1	မြန်မာအောများ	diff	Z	same	same		
စိုင္းထီးဆိုင္သီခ်င္းမ်ား	4	1	စိုင်းထီးဆိုင်သီချင်းများ	diff	Z	1	စိုင်းထီးဆိုင်သီချင်းများ	diff	Z	same	same		
နီနီခင္ေဇာ္ အိုး	4	1	နီနီခင်ဇော် အိုး	diff	Z	1	နီနီခင်ဇော် အိုး	diff	Z	same	same		
ဆုအိမ္​့စံ	4	0.9947	ဆုအိမ့်စံ	diff	Z	0.9983370454	ဆုအိမ့်​စံ	diff	Z	same	same		
ျမန္​မာ.com	4	1	မြန်​မာ.com	diff	Z	0.9999999885	မြန်​မာ.com	diff	Z	same	same		
လိုသံုး	4	0.9998	လိုသုံး	diff	Z	0.9999917763	လိုသုံး	diff	Z	same	same		
အဂၤလိပ္သီခ်င္းCharice-One-Day-Official	4	1	အင်္ဂလိပ်သီချင်းCharice-One-Day-Official	diff	Z	1	အင်္ဂလိပ်သီချင်းCharice-One-Day-Official	diff	Z	same	same		
ဖုိးဖုိးထြန္းဟာသမ်ား	4	1	ဖိုးဖိုးထွန်းဟာသများ	diff	Z	1	ဖိုးဖိုးထွန်းဟာသများ	diff	Z	same	same		
သစ္​ထူးလြင္​သတင္​း	4	1	သစ်​ထူးလွင်​သတင်း	diff	Z	1	သစ်​ထူးလွင်​သတင်း	diff	Z	same	same		
japanလိုးကး	4	0.6298	japanလိုးကး	same	I	0.998571903	japanလိုးကး	same	Z	diff	same		
ပရိတ္ႀကီး ၁၁ သုတ္ mp3	4	0.9999	ပရိတ်ကြီး ၁၁ သုတ် mp3	diff	Z	1	ပရိတ်ကြီး ၁၁ သုတ် mp3	diff	Z	same	same		
နိုင္ငံတကာလိုးကားမ်ား	4	1	နိုင်ငံတကာလိုးကားများ	diff	Z	1	နိုင်ငံတကာလိုးကားများ	diff	Z	same	same		
ဒီပေက်ာ္	4	1	ဒီပကျော်	diff	Z	0.9999999999	ဒီပကျော်	diff	Z	same	same		
ဂ်ပန္​ျသကား	4	1	ဂျပန်​သြကား	diff	Z	0.9996195604	ဂျပန်​သြကား	diff	Z	same	same		
သန္းေဖေလး	4	1	သန်းဖေလေး	diff	Z	1	သန်းဖေလေး	diff	Z	same	same		
ကံ	4	0.1051	ကံ	same	I	0.9241270602	ကံ	same	I	same	same		
,သူ​ေစၫြန္​ရာ​ေစ	4	1	,သူ​စေညွန်​ရာ​စေ	diff	Z	0.9999999998	,သူ​စေညွန်​ရာ​စေ	diff	Z	same	same		
ေရႊမုန္ရတီ လိုးကား	4	1	ရွှေမုန်ရတီ လိုးကား	diff	Z	1	ရွှေမုန်ရတီ လိုးကား	diff	Z	same	same		
ေႀကာင့္ကမ္လာဘ္	4	1	ကြောင့်ကမ်လာဘ်	diff	Z	1	ကြောင့်ကမ်လာဘ်	diff	Z	same	same		
ျမန္မာစာတန္းထိုး movies	4	1	မြန်မာစာတန်းထိုး movies	diff	Z	1	မြန်မာစာတန်းထိုး movies	diff	Z	same	same		
​ေခတ္​​ေဟာင္​း​ေတး	4	1	​ခေတ်​​ဟောင်း​တေး	diff	Z	1	​ခေတ်​​ဟောင်း​တေး	diff	Z	same	same		
အာရွတိုက္	4	0.9999	အာရှတိုက်	diff	Z	0.9999930411	အာရှတိုက်	diff	Z	same	same		
ေအာကားျကမ္းျကမ္း	4	1	အောကားကြမ်းကြမ်း	diff	Z	1	အောကားကြမ်းကြမ်း	diff	Z	same	same		
သီခ်င္းစာသားမ်ား	4	1	သီချင်းစာသားများ	diff	Z	1	သီချင်းစာသားများ	diff	Z	same	same		
ထူးအယ္လင္း song	4	1	ထူးအယ်လင်း song	diff	Z	1	ထူးအယ်လင်း song	diff	Z	same	same		
အိမ္​အကူအလုပ္​သမားအခြင္​့အ​ေရး	4	1	အိမ်​အကူအလုပ်​သမားအခွင့်အ​ရေး	diff	Z	1	အိမ်​အကူအလုပ်​သမားအခွင့်​အ​ရေး	diff	Z	same	same		
ပြင့္နဒီေမာင္ photo	4	1	ပွင့်နဒီမောင် photo	diff	Z	1	ပွင့်နဒီမောင် photo	diff	Z	same	same		
သဇင္​ ၁	4	1	သဇင်​ ၁	diff	Z	0.9999999785	သဇင်​ ၁	diff	Z	same	same		
ေသြးေလးဘက္နာ	4	1	သွေးလေးဘက်နာ	diff	Z	1	သွေးလေးဘက်နာ	diff	Z	same	same		
မနဲ႔ေမာင္	4	1	မနဲ့မောင်	diff	Z	1	မနဲ့မောင်	diff	Z	same	same		
အြန္ဆိုင္း	4	1	အွန်ဆိုင်း	diff	Z	1	အွန်ဆိုင်း	diff	Z	same	same		
ေဂ်မီ	4	0.9999	ဂျေမီ	diff	Z	0.9999287937	ဂျေမီ	diff	Z	same	same		
လွပေရးရာ	4	0.8945	လှပရေးရာ	diff	I	0.9991351687	လှပရေးရာ	diff	Z	diff	same		
ရွမ္းျပည္နယ္အေၾကာင္း	4	1	ရှမ်းပြည်နယ်အကြောင်း	diff	Z	1	ရှမ်းပြည်နယ်အကြောင်း	diff	Z	same	same		
facebook id lock ျဖည္နည္း	4	1	facebook id lock ဖြည်နည်း	diff	Z	1	facebook id lock ဖြည်နည်း	diff	Z	same	same		
ခ်ိဳခ်ိဳစို႔	4	1	ချိုချိုစို့	diff	Z	1	ချိုချိုစို့	diff	Z	same	same		
မူးရစ္ေဆးဝါျပးတိုက္	4	1	မူးရစ်ဆေးဝါပြးတိုက်	diff	Z	1	မူးရစ်ဆေးဝါပြးတိုက်	diff	Z	same	same		
ဂ်ဴဝဲလ္	4	0.9998	ဂျူဝဲလ်	diff	Z	1	ဂျူဝဲလ်	diff	Z	same	same		
Sai Sai ငါ့ရည္းကပိုမိုက္တယ္	4	1	Sai Sai ငါ့ရည်းကပိုမိုက်တယ်	diff	Z	1	Sai Sai ငါ့ရည်းကပိုမိုက်တယ်	diff	Z	same	same		
2D3dအမုန္းစြဲဘုန္းခ်ဲ	4	1	2D3dအမုန်းစွဲဘုန်းချဲ	diff	Z	1	2D3dအမုန်းစွဲဘုန်းချဲ	diff	Z	same	same		
ခင္​​ေမာင္​တိုး mp3 download	4	1	ခင်​​မောင်​တိုး mp3 download	diff	Z	1	ခင်​​မောင်​တိုး mp3 download	diff	Z	same	same		
အပ်ိဳမ	4	0.9941	အပျိုမ	diff	Z	0.9999999942	အပျိုမ	diff	Z	same	same		
ဟိန္းထက္ဟိန္း	4	1	ဟိန်းထက်ဟိန်း	diff	Z	1	ဟိန်းထက်ဟိန်း	diff	Z	same	same		
သူရ	4	0.2228	သူရ	same	I	0.7798732047	သူရ	same	I	same	same		
ဥပေဒႏွင့္ မညီေသာစည္းကမ္းခ်က္မ်ား	4	1	ဥပဒေနှင့် မညီသောစည်းကမ်းချက်များ	diff	Z	1	ဥပဒေနှင့် မညီသောစည်းကမ်းချက်များ	diff	Z	same	same		
မိဘ	4	0.6179	မိဘ	same	I	0.9495049571	မိဘ	same	I	same	same		
wwe.ေခ်ာင္းရုိက္ ျမန္မာxnxx	4	1	wwe.ချောင်းရိုက် မြန်မာxnxx	diff	Z	1	wwe.ချောင်းရိုက် မြန်မာxnxx	diff	Z	same	same		
ေအာကာတြန့္ရုပ္ျပမ်ား	4	1	အောကာတွန့်ရုပ်ပြများ	diff	Z	1	အောကာတွန့်ရုပ်ပြများ	diff	Z	same	same		
ေရတီ	4	0.9997	ရေတီ	diff	Z	0.9995865806	ရေတီ	diff	Z	same	same		
လို,ကာ:	4	0.5718	လို,ကာ:	same	I	0.7553352391	လို,ကာ:	same	I	same	same		
ဝတ	4	0.3525	ဝတ	same	I	0.1408313331	ဝတ	same	I	same	same		
နစ္လုံး	4	0.7862	နစ်လုံး	diff	I	0.9349910889	နစ်လုံး	diff	I	same	same		
ျမန္မာေခ်ာင္း႐ိုက္အသစ္ - xnxx.com	4	1	မြန်မာချောင်းရိုက်အသစ် - xnxx.com	diff	Z	1	မြန်မာချောင်းရိုက်အသစ် - xnxx.com	diff	Z	same	same		
အနာဂတဘယ	4	0.1337	အနာဂတဘယ	same	I	0.2421430577	အနာဂတဘယ	same	I	same	same		
မင်မာအိုးကား	4	0.007222	မငျမာအိုးကား	diff	U	0.01125545528	မငျမာအိုးကား	diff	U	same	same		
ပုဂံေခတ္သူရဲေကါင္းမ်ား	4	1	ပုဂံခေတ်သူရဲကေါင်းများ	diff	Z	1	ပုဂံခေတ်သူရဲကေါင်းများ	diff	Z	same	same		
တူးမာ	4	0.5727	တူးမာ	same	I	0.595459562	တူးမာ	same	I	same	same		
ခ်မ္းေျမ႕ရိပ္ျမိဳင္ ဆရာေတာ္ mp3 download	4	1	ချမ်းမြေ့ရိပ်မြိုင် ဆရာတော် mp3 download	diff	Z	1	ချမ်းမြေ့ရိပ်မြိုင် ဆရာတော် mp3 download	diff	Z	same	same		
ပါဠိေဖ်ံေမတာၳ	4	1	ပါဠိဖျေံမေတ္ထာ	diff	Z	1	ပါဠိဖျေံမေတ္ထာ	diff	Z	same	same		
စိုင္းဆိုင္ေမာဝ္	4	1	စိုင်းဆိုင်မောဝ်	diff	Z	1	စိုင်းဆိုင်မောဝ်	diff	Z	same	same		
KGသူငယ္တန္း	4	1	KGသူငယ်တန်း	diff	Z	0.9999999973	KGသူငယ်တန်း	diff	Z	same	same		
သီးခ်င္	4	1	သီးချင်	diff	Z	0.9999999999	သီးချင်	diff	Z	same	same		
korean  18+ျမန္​မာစာတန္​းထိုး	4	1	korean  18+မြန်​မာစာတန်းထိုး	diff	Z	1	korean  18+မြန်​မာစာတန်းထိုး	diff	Z	same	same		
ျမန္မာUSAလိုးကား	4	1	မြန်မာUSAလိုးကား	diff	Z	0.9999999454	မြန်မာUSAလိုးကား	diff	Z	same	same		
​ေရခင္​းတီးလုံး	4	1	​ရေခင်းတီးလုံး	diff	Z	0.9999999605	​ရေခင်းတီးလုံး	diff	Z	same	same		
အ ညီမေလး	4	0.9906	အ ညီမလေး	diff	Z	0.9999982924	အ ညီမလေး	diff	Z	same	same		
ညီ မ လေး	4	4.85E-06	ညီ မ လေး	same	U	0.00001554906563	ညီ မ လေး	same	U	same	same		
ျကက္ဘုရင္	4	1	ကြက်ဘုရင်	diff	Z	0.9999999999	ကြက်ဘုရင်	diff	Z	same	same		
လုပ္မယ္	4	1	လုပ်မယ်	diff	Z	0.9999999994	လုပ်မယ်	diff	Z	same	same		
ေရႊထူး တံခါးဖြင့္ထားပါတယ္	4	1	ရွှေထူး တံခါးဖွင့်ထားပါတယ်	diff	Z	1	ရွှေထူး တံခါးဖွင့်ထားပါတယ်	diff	Z	same	same		
02.စလံုးကခ်စ္သူ (ႏိုင္း၀မ္း)'	4	1	02.စလုံးကချစ်သူ (နိုင်းဝမ်း)'	diff	Z	1	02.စလုံးကချစ်သူ (နိုင်းဝမ်း)'	diff	Z	same	same		
ျမပုလဲသြယ္​	4	1	မြပုလဲသွယ်​	diff	Z	1	မြပုလဲသွယ်​	diff	Z	same	same		
မဟန္နီမင္းညြွန့္	4	1	မဟန်နီမင်းညွှန့်	diff	Z	1	မဟန်နီမင်းညွှန့်	diff	Z	same	same		
ေနာ္ရင္ေမႊး	4	1	နော်ရင်မွှေး	diff	Z	1	နော်ရင်မွှေး	diff	Z	same	same		
အျပာကားသီးသန့္ video	4	1	အပြာကားသီးသန့် video	diff	Z	1	အပြာကားသီးသန့် video	diff	Z	same	same		
​ေငါင္​း	4	1	​ငေါင်း	diff	Z	0.9999999999	​ငေါင်း	diff	Z	same	same		
ျမန္​မာ xnxx	4	1	မြန်​မာ xnxx	diff	Z	0.9999999885	မြန်​မာ xnxx	diff	Z	same	same		
စကာ​ေျပာန ည္​း	4	1	စကာ​ပြောန ည်း	diff	Z	1	စကာ​ပြောန ည်း	diff	Z	same	same		
ဖဝ့္သုတ္က်ာ	4	0.9996	ဖဝ့်သုတ်ကျာ	diff	Z	1	ဖဝ့်သုတ်ကျာ	diff	Z	same	same		
ျမန္မာအျပာကာ	4	1	မြန်မာအပြာကာ	diff	Z	1	မြန်မာအပြာကာ	diff	Z	same	same		
ျမန္နယ္အျပာက	4	1	မြန်နယ်အပြာက	diff	Z	1	မြန်နယ်အပြာက	diff	Z	same	same		
တိမိသconnie carter soloလာ	4	0.4767	တိမိသconnie carter soloလာ	same	I	0.7121249366	တိမိသconnie carter soloလာ	same	I	same	same		
ျမန္မာမင	4	1	မြန်မာမင	diff	Z	0.9999999731	မြန်မာမင	diff	Z	same	same		
လြန္းတမွီ	4	1	လွန်းတမှီ	diff	Z	1	လွန်းတမှီ	diff	Z	same	same		
တရာေတာ်	4	0.7784	တရာတျော	diff	I	0.6908158005	တရာတျော	diff	I	same	same		
မယ္​လိုဒီ	4	1	မယ်​လိုဒီ	diff	Z	0.9999978357	မယ်​လိုဒီ	diff	Z	same	same		
ျမန္မာပံုျပင္	4	1	မြန်မာပုံပြင်	diff	Z	1	မြန်မာပုံပြင်	diff	Z	same	same		
ဦးအား	4	0.9983	ဦးအား	diff	Z	0.9999874322	ဦးအား	diff	Z	same	same		
ဟန္ထူးလြင္ သီခ်င္းမ်ား	4	1	ဟန်ထူးလွင် သီချင်းများ	diff	Z	1	ဟန်ထူးလွင် သီချင်းများ	diff	Z	same	same		
​ေဘာလံုးပြဲမ်ား	4	1	​ဘောလုံးပွဲများ	diff	Z	1	​ဘောလုံးပွဲများ	diff	Z	same	same		
မလိွဳင္ ပညာေရးေက်ာင္းမ်ား	4	1	မလှိုင် ပညာရေးကျောင်းများ	diff	Z	1	မလှိုင် ပညာရေးကျောင်းများ	diff	Z	same	same		
လြင္မိုး	4	1	လွင်မိုး	diff	Z	0.9999999884	လွင်မိုး	diff	Z	same	same		
ဆိုင္းင့ံ ခလုတ္	4	1	ဆိုင်းငံ့ ခလုတ်	diff	Z	1	ဆိုင်းငံ့ ခလုတ်	diff	Z	same	same		
ဇူလိုင္လထီေပါက္စႈ္	4	1	ဇူလိုင်လထီပေါက်စှု	diff	Z	1	ဇူလိုင်လထီပေါက်စှု	diff	Z	same	same		
မင္းသား	4	1	မင်းသား	diff	Z	0.9999999967	မင်းသား	diff	Z	same	same		
ေအာကားသင္ဇာဝင့္ေက်ာ္ facebook	4	1	အောကားသင်ဇာဝင့်ကျော် facebook	diff	Z	1	အောကားသင်ဇာဝင့်ကျော် facebook	diff	Z	same	same		
ဇယား	4	0.4522	ဇယား	same	I	0.927648404	ဇယား	same	I	same	same		
xxnxျမန္မာအသစ္	4	1	xxnxမြန်မာအသစ်	diff	Z	1	xxnxမြန်မာအသစ်	diff	Z	same	same		
အင	4	0.6291	အင	same	I	0.6682604619	အင	same	I	same	same		
မေနာမရတရားေတာ္	4	1	မနောမရတရားတော်	diff	Z	1	မနောမရတရားတော်	diff	Z	same	same		
ရင္ဘက္ထဲကဓား	4	1	ရင်ဘက်ထဲကဓား	diff	Z	0.9999996288	ရင်ဘက်ထဲကဓား	diff	Z	same	same		
ၾကက္သြန္နီ	4	1	ကြက်သွန်နီ	diff	Z	0.9999999999	ကြက်သွန်နီ	diff	Z	same	same		
ုျမန္​မာဖူးကား	4	1	ုမြန်​မာဖူးကား	diff	Z	1	ုမြန်​မာဖူးကား	diff	Z	same	same		
ထပ္ညြွန္းမ်ား	4	1	ထပ်ညွှန်းများ	diff	Z	1	ထပ်ညွှန်းများ	diff	Z	same	same		
စစ္ကား ျမန္မာစာတန္းထိုး	4	1	စစ်ကား မြန်မာစာတန်းထိုး	diff	Z	1	စစ်ကား မြန်မာစာတန်းထိုး	diff	Z	same	same		
ျဖဴနီဝါျပာေတးသံသာ	4	1	ဖြူနီဝါပြာတေးသံသာ	diff	Z	1	ဖြူနီဝါပြာတေးသံသာ	diff	Z	same	same		
အမွန္ကန္ကား	4	0.9978	အမှန်ကန်ကား	diff	Z	0.999568648	အမှန်ကန်ကား	diff	Z	same	same		
အတြဲမ်ား	4	1	အတွဲများ	diff	Z	0.999999999	အတွဲများ	diff	Z	same	same		
အိမ္​ျပန္​ခ်ိန္​ အရြာတိတ္​ပါမိုး	4	1	အိမ်​ပြန်​ချိန်​ အရွာတိတ်​ပါမိုး	diff	Z	1	အိမ်​ပြန်​ချိန်​ အရွာတိတ်​ပါမိုး	diff	Z	same	same		
ပညာဒါန	4	0.1921	ပညာဒါန	same	I	0.9723478806	ပညာဒါန	same	Z	diff	same		
ဘာမီတြန္	4	1	ဘာမီတွန်	diff	Z	0.9999997224	ဘာမီတွန်	diff	Z	same	same		
လူဆုိ	4	0.9996	လူဆို	diff	Z	0.9998694422	လူဆို	diff	Z	same	same		
အာဇာနည္​ကဗ်ာ	4	1	အာဇာနည်​ကဗျာ	diff	Z	1	အာဇာနည်​ကဗျာ	diff	Z	same	same		
နပန္​းပြဲ	4	1	နပန်းပွဲ	diff	Z	0.9999928985	နပန်းပွဲ	diff	Z	same	same		
ဘမါကား	4	0.9381	ဘမါကား	same	I	0.9312533234	ဘမါကား	same	I	same	same		
​ဂေ်ာက္ဂ်က္ ဘုရား​ပေးတဲ့လက္​ဆောင္ mp3 download	4	1	​ဂျောက်ဂျက် ဘုရား​ပေးတဲ့လက်​ဆောင် mp3 download	diff	Z	1	​ဂျောက်ဂျက် ဘုရား​ပေးတဲ့လက်​ဆောင် mp3 download	diff	Z	same	same		
လီးရွည္	4	1	လီးရှည်	diff	Z	0.9999999997	လီးရှည်	diff	Z	same	same		
ဒေါာ်လာဈေး	4	1.40E-10	ဒျေါာလာဈေး	diff	U	2.44E-15	ဒျေါာလာဈေး	diff	U	same	same		
www.Myanmar႐ုပ္​႐ုင္​မင္​းသမီးxxx	4	1	www.Myanmarရုပ်​ရုင်​မင်းသမီးxxx	diff	Z	1	www.Myanmarရုပ်​ရုင်​မင်းသမီးxxx	diff	Z	same	same		
ကြမ္းစုိက္နည္းပညာ	4	1	ကွမ်းစိုက်နည်းပညာ	diff	Z	1	ကွမ်းစိုက်နည်းပညာ	diff	Z	same	same		
​ေသပါၿပီ	4	1	​သေပါပြီ	diff	Z	0.9999999852	​သေပါပြီ	diff	Z	same	same		
မေဆွိ	4	0.9548	မဆှေိ	diff	Z	0.8638039243	မဆှေိ	diff	I	diff	same		
ရြယ္ရြယ္	4	1	ရွယ်ရွယ်	diff	Z	1	ရွယ်ရွယ်	diff	Z	same	same		
လိုးကား ပါကင္​	4	1	လိုးကား ပါကင်​	diff	Z	0.9999997786	လိုးကား ပါကင်​	diff	Z	same	same		
က်မ္းစာ	4	0.9912	ကျမ်းစာ	diff	Z	0.9996831437	ကျမ်းစာ	diff	Z	same	same		
ျမန္မာေရခ်ိဳးေခ်ာင္း႐ိုက္	4	1	မြန်မာရေချိုးချောင်းရိုက်	diff	Z	1	မြန်မာရေချိုးချောင်းရိုက်	diff	Z	same	same		
စက္မူလယ္ယာကဏၰား	4	0.9999	စက်မူလယ်ယာကဏ္ဏား	diff	Z	0.9999999994	စက်မူလယ်ယာကဏ္ဏား	diff	Z	same	same		
ူေအာကား	4	0.9994	ူအောကား	diff	Z	0.9999999441	ူအောကား	diff	Z	same	same		
dtac http မခ်ိပ္​	4	1	dtac http မချိပ်​	diff	Z	1	dtac http မချိပ်​	diff	Z	same	same		
ေမတၲာပို႔	4	1	မေတ္တာပို့	diff	Z	1	မေတ္တာပို့	diff	Z	same	same		
​လိင္​ဆက္​ဆံနည္​း	4	1	​လိင်​ဆက်​ဆံနည်း	diff	Z	1	​လိင်​ဆက်​ဆံနည်း	diff	Z	same	same		
ၿဖိဳးျမတ္ေအာင္ myanmar idol	4	1	ဖြိုးမြတ်အောင် myanmar idol	diff	Z	1	ဖြိုးမြတ်အောင် myanmar idol	diff	Z	same	same		
လုးိကားvideoမ်ား	4	0.9999	လုိးကားvideoများ	diff	Z	0.999999928	လုိးကားvideoများ	diff	Z	same	same		
ေဆာင္းေဘာက္	4	1	ဆောင်းဘောက်	diff	Z	1	ဆောင်းဘောက်	diff	Z	same	same		
ချက်	4	6.87E-07	ခကျြ	diff	U	0.00000128065114	ခကျြ	diff	U	same	same		
apyar အျပာ	4	1	apyar အပြာ	diff	Z	0.999999918	apyar အပြာ	diff	Z	same	same		
ေလးဖက္နာ	4	1	လေးဖက်နာ	diff	Z	1	လေးဖက်နာ	diff	Z	same	same		
မိန္းမေထာင္ဇာတ္ကားမ်ား2018	4	1	မိန်းမထောင်ဇာတ်ကားများ2018	diff	Z	1	မိန်းမထောင်ဇာတ်ကားများ2018	diff	Z	same	same		
ျမန္မာေမာ္ဒယ္အလန္းမ်ား	4	1	မြန်မာမော်ဒယ်အလန်းများ	diff	Z	1	မြန်မာမော်ဒယ်အလန်းများ	diff	Z	same	same		
ျမန္​မာ​လိုးကားသစ္​	4	1	မြန်​မာ​လိုးကားသစ်​	diff	Z	1	မြန်​မာ​လိုးကားသစ်​	diff	Z	same	same		
Bleeding steel 2017 ျမန္မာစားတန္ထုိ	4	1	Bleeding steel 2017 မြန်မာစားတန်ထို	diff	Z	1	Bleeding steel 2017 မြန်မာစားတန်ထို	diff	Z	same	same		
ျမန္မာေခ်ာင္	4	1	မြန်မာချောင်	diff	Z	1	မြန်မာချောင်	diff	Z	same	same		
သစ်စာေရ	4	0.3225	သဈစာရေ	diff	I	0.9989084559	သဈစာရေ	diff	Z	diff	same		
ကိုးရိးယား ရာဇဝင္ ဇာတ္ကား	4	1	ကိုးရိးယား ရာဇဝင် ဇာတ်ကား	diff	Z	1	ကိုးရိးယား ရာဇဝင် ဇာတ်ကား	diff	Z	same	same		
အင္​ဒိုနီး႐ွားသရဲကား	4	1	အင်​ဒိုနီးရှားသရဲကား	diff	Z	1	အင်​ဒိုနီးရှားသရဲကား	diff	Z	same	same		
ထူအိမ္သင္	4	1	ထူအိမ်သင်	diff	Z	0.9999999994	ထူအိမ်သင်	diff	Z	same	same		
